Number	Title	Faculty	Semester	Section	Credits	Modality**
T545	Motivation and Learning: Technologies That Invite and Immerse	Christopher Dede	Spring	1	4	O
T550	Designing for Learning by Creating	Karen Brennan	Fall	1	4	IP
T560	Universal Design for Learning: Theory, Practice, and Innovation	Blackorby, Jose; Hartmann, Elizabeth	Spring	1	4	O
T565	Entrepreneurship in the Education Marketplace	John Richards	Fall	1	4	FLEX
T581	Advanced Design Studio	Rosenheck, Louisa	Spring	1	4	IP
T598	Field Experience in Electronic Technology & Education	Various	Various	Various	4	O
T802A	Teaching Climate Change	Grotzer, Tina	Fall 2	1	2	O
T803A	Teaching Climate Change	Grotzer, Tina	Spring	1	2	O
T909	Research Seminar on Teacher and Teaching Quality	Heather C. Hill; Taylor, Eric	Spring	1	4	IP
TBD	Group independent study - Superintendent Practicum	Echelson, Drew	Fall	1	4	IP
TBD	Group independent study - Superintendent Practicum	Echelson, Drew	Spring	1	4	IP
TBD	The College Admissions Process: Practice, Policy, and Research	Perez, Angel	January	1	2	O
TBD	Reading Group on Research Methods in Educational Neuroscience	Ozernov-Palchik, Ola	Spring	1	2	O
